Steps: 7000, Water: 4, Sleep: 8, Calories: 2500
Steps: 100, Water: 1, Sleep: 2, Calories: 500
Steps: 100, Water: 1, Sleep: 3, Calories: 100
Steps: 100, Water: 2, Sleep: 2, Calories: 100
Steps: 5000, Water: 2, Sleep: 8, Calories: 5000
Steps: 4000, Water: 3, Sleep: 8, Calories: 5000
Steps: 2000, Water: 3, Sleep: 8, Calories: 2000
Steps: 2000, Water: 5, Sleep: 10, Calories: 2000
Steps: 5000, Water: 6, Sleep: 10, Calories: 2000
Steps: 2000, Water: 50, Sleep: 5, Calories: 5111
Steps: 10000, Water: 15, Sleep: 17, Calories: 6000
Steps: 20000, Water: 23, Sleep: 3, Calories: 3343
Steps: 2000, Water: 5, Sleep: 8, Calories: 3300
Steps: 2000, Water: 6, Sleep: 8, Calories: 3433
Steps: 69999, Water: 67, Sleep: 456, Calories: 9
Steps: 65555, Water: 9, Sleep: 8, Calories: 5665
Steps: 6565, Water: 6, Sleep: 8, Calories: 6767
Steps: 4544, Water: 5, Sleep: 7, Calories: 3434
Steps: 8000, Water: 5, Sleep: 7, Calories: 2000
Steps: 0, Water: 1, Sleep: 12, Calories: 5000
Steps: 5656, Water: 2, Sleep: 14, Calories: 4545
Steps: 5000, Water: 6, Sleep: 9, Calories: 3434
Steps: 2999, Water: 3, Sleep: 4, Calories: 6565
Steps: 8000, Water: 5, Sleep: 7, Calories: 2000
Steps: 1, Water: 6, Sleep: 5, Calories: 5665
Steps: 6767, Water: 5, Sleep: 8, Calories: 3434
Steps: 8000, Water: 3, Sleep: 7, Calories: 2000
Steps: 8000, Water: 3, Sleep: 7, Calories: 2000
Steps: 8000, Water: 4, Sleep: 8, Calories: 3000
